"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Valida o fluxo completo de buscar produto, selecionar e adicionar ao carrinho","227634","TC003 - Deve buscar produto e adicionar ao carrinho com sucesso","","Thu Nov 27 17:25:44 UTC 2025","broken","Thu Nov 27 17:29:32 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldSearchProductAndAddToCart"
"Valida que a API remove um post retornando status 200","116","TC009 - Deve remover post com sucesso","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:31 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldDeletePostSuccessfully"
"Valida que a API aceita variações de case no nome do país","234","TC005 - Deve aceitar busca case-insensitive [4] CaNaDa","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:31 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
"Valida que a API retorna lista quando busca retorna multiplos paises","268","TC007 - Deve retornar multiplos resultados para busca parcial","","Thu Nov 27 17:21:31 UTC 2025","passed","Thu Nov 27 17:21:31 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldReturnMultipleResultsForPartialSearch"
"Valida que o usuario consegue iniciar o cadastro preenchendo email","222612","TC002 - Deve iniciar cadastro com email valido","","Thu Nov 27 17:24:18 UTC 2025","broken","Thu Nov 27 17:28:01 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldStartRegistrationWithValidEmail"
"Valida que a API retorna status 200 quando busca por um pais existente","2588","TC001 - Deve retornar status 200 ao buscar pais por nome valido (Canada)","","Thu Nov 27 17:21:25 UTC 2025","passed","Thu Nov 27 17:21:27 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldReturn200WhenSearchingValidCountryName"
"Valida que a busca retorna resultados para o termo pesquisado","48136","TC001 - Deve buscar produto e exibir resultados","","Thu Nov 27 17:21:24 UTC 2025","passed","Thu Nov 27 17:22:12 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldSearchProductAndDisplayResults"
"Valida que a API retorna lista de posts com status 200","286","TC004 - Deve listar todos os posts com sucesso","","Thu Nov 27 17:21:29 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldListAllPostsSuccessfully"
"Valida que ao clicar em um produto, a pagina de detalhes e exibida","211532","TC002 - Deve selecionar produto e exibir detalhes","","Thu Nov 27 17:22:12 UTC 2025","failed","Thu Nov 27 17:25:44 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldSelectProductAndDisplayDetails"
"Valida que o sistema rejeita email com formato invalido","222373","TC003 - Deve validar formato de email invalido","","Thu Nov 27 17:28:01 UTC 2025","broken","Thu Nov 27 17:31:43 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldShowErrorForInvalidEmailFormat"
"Valida que a API retorna 404 quando busca por um pais que nao existe","154","TC006 - Deve retornar 404 para pais inexistente","","Thu Nov 27 17:21:31 UTC 2025","passed","Thu Nov 27 17:21:31 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldReturn404ForNonExistentCountry"
"Valida que a API retorna um post especifico pelo ID","210","TC005 - Deve obter post especifico por ID","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldGetSpecificPostById"
"Valida que o usuario pode continuar navegando apos adicionar produto","221810","TC006 - Deve permitir continuar comprando apos adicionar ao carrinho","","Thu Nov 27 17:30:42 UTC 2025","broken","Thu Nov 27 17:34:24 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldAllowContinueShoppingAfterAddToCart"
"Valida que o sistema rejeita login com credenciais incorretas","132140","TC006 - Deve exibir erro para credenciais invalidas","","Thu Nov 27 17:37:38 UTC 2025","broken","Thu Nov 27 17:39:50 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldShowErrorForInvalidCredentials"
"Valida criacao de post usando Test Data Builder com dados aleatorios","483","TC003 - Deve criar post com dados gerados pelo Builder","","Thu Nov 27 17:21:29 UTC 2025","passed","Thu Nov 27 17:21:29 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldCreatePostWithBuilderGeneratedData"
"Valida que o sistema rejeita cadastro com email que ja esta cadastrado","222616","TC004 - Deve exibir erro ao tentar cadastrar com email ja existente","","Thu Nov 27 17:31:43 UTC 2025","broken","Thu Nov 27 17:35:26 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldShowErrorForExistingEmail"
"Valida que a resposta possui a estrutura JSON correta conforme schema","1487","TC002 - Deve validar estrutura JSON da resposta para busca por nome","","Thu Nov 27 17:21:28 UTC 2025","passed","Thu Nov 27 17:21:29 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldValidateJsonStructureForCountrySearch"
"Valida que o campo name.common da resposta contem exatamente 'Canada'","278","TC003 - Deve validar campo name.common retorna 'Canada'","","Thu Nov 27 17:21:29 UTC 2025","passed","Thu Nov 27 17:21:29 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldValidateCommonNameFieldForCanada"
"Valida que a API retorna 404 quando busca post que nao existe","186","TC006 - Deve retornar 404 para post inexistente","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldReturn404ForNonExistentPost"
"Valida que a operacao POST responde em tempo aceitavel","119","TC010 - Deve responder em tempo aceitavel para POST","","Thu Nov 27 17:21:31 UTC 2025","passed","Thu Nov 27 17:21:31 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldRespondWithinAcceptableTimeForPost"
"Valida que a API cria um novo post e retorna status 201 com id gerado","3657","TC001 - Deve criar novo post com status 201 e retornar id gerado","","Thu Nov 27 17:21:25 UTC 2025","passed","Thu Nov 27 17:21:28 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldCreateNewPostAndReturnGeneratedId"
"Valida que a API atualiza todos os campos do post via PUT","207","TC007 - Deve atualizar post completamente (PUT)","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldUpdatePostCompletely"
"Valida que o sistema exibe mensagem apropriada para carrinho vazio","24852","TC004 - Deve exibir mensagem de carrinho vazio quando nao ha itens","","Thu Nov 27 17:29:32 UTC 2025","passed","Thu Nov 27 17:29:56 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldDisplayEmptyCartMessage"
"Valida que a resposta de criacao possui a estrutura JSON correta","374","TC002 - Deve validar estrutura JSON da resposta de criacao","","Thu Nov 27 17:21:28 UTC 2025","passed","Thu Nov 27 17:21:29 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldValidateJsonStructureForPostCreation"
"Valida que a pagina de login carrega com os formularios de login e criar conta","173936","TC001 - Deve carregar pagina de login corretamente","","Thu Nov 27 17:21:24 UTC 2025","failed","Thu Nov 27 17:24:18 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldLoadLoginPageSuccessfully"
"Valida que a API responde em tempo aceitavel","166","TC008 - Deve responder em tempo aceitavel (< 5 segundos)","","Thu Nov 27 17:21:31 UTC 2025","passed","Thu Nov 27 17:21:31 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldRespondWithinAcceptableTime"
"Valida que a API aceita variações de case no nome do país","223","TC005 - Deve aceitar busca case-insensitive [1] canada","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
"Valida campos adicionais como capital, region, subregion para Canada","363","TC004 - Deve retornar campos adicionais corretamente para Canada","","Thu Nov 27 17:21:29 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldValidateAdditionalFieldsForCanada"
"Valida que filtros de busca funcionam corretamente","45867","TC005 - Deve aplicar filtros na busca de produtos","","Thu Nov 27 17:29:56 UTC 2025","passed","Thu Nov 27 17:30:42 UTC 2025","","Testes de Busca e Carrinho na Netshoes","com.automation.tests.web.NetshoesCartTest","shouldApplySearchFilters"
"Valida que a API aceita variações de case no nome do país","191","TC005 - Deve aceitar busca case-insensitive [3] Canada","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
"Valida que o sistema exige preenchimento de usuario e senha","132210","TC005 - Deve validar login com campos vazios","","Thu Nov 27 17:35:26 UTC 2025","broken","Thu Nov 27 17:37:38 UTC 2025","","Testes de Cadastro na Netshoes","com.automation.tests.web.NetshoesRegistrationTest","shouldValidateEmptyLoginFields"
"Valida que a API atualiza apenas campos especificos via PATCH","142","TC008 - Deve atualizar parcialmente um post (PATCH)","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API JSONPlaceholder","com.automation.tests.api.JsonPlaceholderApiTest","shouldPartiallyUpdatePost"
"Valida que a API aceita variações de case no nome do país","251","TC005 - Deve aceitar busca case-insensitive [2] CANADA","","Thu Nov 27 17:21:30 UTC 2025","passed","Thu Nov 27 17:21:30 UTC 2025","","Testes da API RESTCountries","com.automation.tests.api.RestCountriesApiTest","shouldAcceptCaseInsensitiveSearch"
